Unnamed: 0,n_startpop_5564,n_startpop_6574,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_college,p_cogstate1_f,p_cogstate1_his,p_cogstate1_his_f,p_cogstate1_hsless,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_college,n_cogstate1_f,n_cogstate1_his,n_cogstate1_his_f,n_cogstate1_hsless,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_college,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_his_f,n_nhmliv_dem_hsless,n_nhmliv_dem_m,n_nhmliv_dem_wht,p_nhmliv_dem_5564,p_nhmliv_dem_6574,p_nhmliv_dem_7584,p_nhmliv_dem_85p,p_nhmliv_dem_all,p_nhmliv_dem_blk,p_nhmliv_dem_college,p_nhmliv_dem_f,p_nhmliv_dem_his,p_nhmliv_dem_his_f,p_nhmliv_dem_hsless,p_nhmliv_dem_m,p_nhmliv_dem_wht,helphoursyr_dem_5564,helphoursyr_dem_6574,helphoursyr_dem_7584,helphoursyr_dem_85p,helphoursyr_dem_all,helphoursyr_dem_blk,helphoursyr_dem_college,helphoursyr_dem_f,helphoursyr_dem_his,helphoursyr_dem_his_f,helphoursyr_dem_hsless,helphoursyr_dem_m,helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_college,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_hsless,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_college,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_hsless,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_college,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_hsless,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_college,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_hsless,t_oopmd_dem_m,t_oopmd_dem_wht,t_qalys_dem_5564,t_qalys_dem_6574,t_qalys_dem_7584,t_qalys_dem_85p,t_qalys_dem_all,t_qalys_dem_blk,t_qalys_dem_college,t_qalys_dem_f,t_qalys_dem_his,t_qalys_dem_hsless,t_qalys_dem_m,t_qalys_dem_wht,t_est_helperct_dem_5564,t_est_helperct_dem_6574,t_est_helperct_dem_7584,t_est_helperct_dem_85p,t_est_helperct_dem_all,t_est_helperct_dem_blk,t_est_helperct_dem_college,t_est_helperct_dem_f,t_est_helperct_dem_his,t_est_helperct_dem_hsless,t_est_helperct_dem_m,t_est_helperct_dem_wht
2.year_inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.year_inc,-1018100.4,733556.4,1654740.4,751233.2,1991997.6,291042.8,1591525.8,1095244.0,1157627.0,589914.0,200497.5,896753.7,543327.8,0.00022200000000000003,0.000667,-0.00295,-0.0046700000000000005,0.00165,0.00215,0.0025800000000000003,0.0013599999999999999,0.00101,0.000341,-0.0032600000000000003,0.00199,0.0013599999999999999,-1648.1,44931.2,75837.1,194291.5,313792.6,57626.5,238014.5,151890.6,102571.1,52227.5,-18751.2,161902.0,153595.0,0.00233,0.00399,-0.0033799999999999998,-0.00233,0.0037600000000000003,0.00196,0.005220000000000001,0.0029,0.00317,0.00314,0.00236,0.00474,0.00302,10020.2,240458.8,276554.7,213710.0,750143.7,93182.2,542015.4,341386.5,306158.6,155435.1,92292.6,408757.2,350802.8,-971.5,-2921.5,-2734.7,30195.9,23176.7,4582.8,14856.7,7705.4,7274.4,5456.8,-9333.9,15471.3,11319.5,-0.00227,-0.00372,-0.00275,-0.00515,-0.00223,-0.000123,-0.00713,-0.00403,0.00134,0.00286,-0.0036899999999999997,0.000763,-0.00313,-21812864.0,64541682.3,177546457.6,299513256.4,1983100000.0,66057060.0,338526154.1,283200025.0,181071882.9,91108458.6,-26964960.7,240854501.7,276925583.8,-91623496.0,1081160000.0,2407580000.0,5523470000.0,8909530000.0,1885190000.0,6443390000.0,4337670000.0,2551790000.0,-572350154.2,4571860000.0,4472550000.0,-79080383.9,463086030.2,1377910000.0,2981960000.0,4740310000.0,1083870000.0,3660460000.0,2260920000.0,1319830000.0,-273712156.6,2479390000.0,2336610000.0,73085532.3,135993284.0,250808819.1,1327900000.0,1804750000.0,467116778.4,711839710.6,802536927.3,717900681.7,149127897.7,1002210000.0,619729647.2,-9437364.5,206088326.9,376794749.4,1189300000.0,1761710000.0,320578127.0,1226030000.0,923564650.8,470335795.3,-137569710.3,838150213.9,970800942.4,-2307131.8,5304730000.0,3302820000.0,13028400000.0,21664400000.0,3631520000.0,18001900000.0,9365080000.0,7772110000.0,-1389740000.0,12299300000.0,10260800000.0,-10973.2,48724.3,61603.2,293525.7,396040.9,66252.0,285373.0,222421.2,119692.7,-22681.3,173619.7,210096.2
6.year_inc,-2054125.9,1043095.9,3562081.9,1305701.8,4065621.3,620873.1,3080401.6,2254380.7,2312463.5,1173220.6,473842.9,1811240.6,1132284.6,0.00033999999999999997,0.0024100000000000002,-0.00351,-0.007540000000000001,0.00365,0.00587,0.0053,0.00283,0.00395,0.00146,-0.004379999999999999,0.0045899999999999995,0.00257,-8004.5,120905.6,225284.1,339742.0,683254.6,142761.3,491665.3,318372.9,243187.1,111701.0,3603.1,364881.6,297306.2,0.004529999999999999,0.0048,-0.00233,-0.00135,0.0071200000000000005,0.0022199999999999998,0.0106,0.0063,0.0036299999999999995,0.0029100000000000003,3.929999999999999e-05,0.00807,0.00628,8446.4,309312.2,712022.7,396084.9,1474991.3,172450.2,1103075.1,732496.9,568440.6,280602.8,137085.3,742494.4,734100.4,-1623.5,-3545.4,4859.9,52125.7,51336.1,7115.7,45670.0,20118.4,14573.1,10159.4,-15112.1,31217.7,29647.3,-0.0034799999999999996,-0.00533,-0.00237,-0.00851,-0.00432,-0.00302,-0.00701,-0.00677,0.0010400000000000001,0.0036899999999999997,-0.00771,0.00037200000000000004,-0.00364,-20315291.9,92375392.4,353997583.5,582685374.3,4077010000.0,190779557.7,753531695.9,494963758.8,367751110.9,153598116.7,-2370156.0,505951078.8,442384169.1,-211496095.9,3130600000.0,5731580000.0,9953840000.0,18630600000.0,4308820000.0,13431800000.0,8836580000.0,5862370000.0,-232475519.3,9794000000.0,8459380000.0,-42141791.1,1790790000.0,3230050000.0,5214640000.0,10192900000.0,2557970000.0,7215320000.0,4913590000.0,3178970000.0,-132427674.1,5279280000.0,4455930000.0,-21679713.7,721041953.2,636301392.6,1563520000.0,2927670000.0,773146774.0,1547260000.0,1325120000.0,1339460000.0,354240275.6,1602550000.0,815062474.6,-32093846.6,443817670.3,952315623.9,2192590000.0,3559260000.0,703177964.0,2758010000.0,1776250000.0,1012870000.0,-151937710.0,1783010000.0,1843210000.0,-136798889.7,12263300000.0,13460100000.0,21573300000.0,47625900000.0,9386890000.0,35787500000.0,18752500000.0,18642600000.0,783592735.2,28873400000.0,19596400000.0,-31119.3,94744.3,226087.9,461558.6,766359.3,144232.0,591026.0,451438.0,233726.0,-47250.0,314921.3,388401.3
8.year_inc,-2405587.5,541740.9,4910677.0,2306117.7,6447006.0,996701.8,4654786.4,3582951.6,3554877.0,1790215.5,865489.3,2864054.4,1895427.1,0.000462,0.00396,-0.00413,-0.0155,0.005520000000000001,0.00852,0.00831,0.00454,0.00605,0.0025399999999999997,-0.0067599999999999995,0.00663,0.0039,-7019.0,166387.2,323561.5,561559.9,1061129.7,219368.4,778859.0,515613.8,380870.1,175014.9,21842.1,545515.9,460891.2,0.0061600000000000005,0.00788,-0.00145,-0.00299,0.0105,0.00592,0.0146,0.00978,0.00536,0.0053100000000000005,0.0027600000000000003,0.0114,0.00884,41268.9,366760.5,1025604.4,690094.6,2261188.3,312554.9,1582283.1,1161299.1,876650.9,440094.3,291368.3,1099889.2,1071982.5,-894.3,-3064.6,11805.9,115064.3,123050.3,20703.0,99194.3,60485.0,21558.1,12867.8,-17036.5,62565.3,80789.2,-0.00195,-0.0055,-0.00149,-0.0047,-0.000682,0.00187,-0.000188,-0.00379,0.000941,0.0024,-0.009290000000000001,0.00505,0.00234,-15875843.4,112343891.8,526944651.7,995989040.4,6255900000.0,322480408.7,1165420000.0,829541485.8,598111145.1,294571366.9,-6982666.9,805756439.2,714706371.2,-231407537.3,4166470000.0,8585640000.0,18023100000.0,30661800000.0,6549130000.0,22447000000.0,14945700000.0,9401820000.0,186325672.9,15716100000.0,14710800000.0,-68434151.1,2265820000.0,4713300000.0,9074590000.0,15997800000.0,3934060000.0,11805000000.0,7854360000.0,5001750000.0,138222819.5,8143450000.0,7062000000.0,-38892275.5,782575701.5,1119340000.0,3396730000.0,5315270000.0,1067360000.0,3011520000.0,2642910000.0,2167120000.0,318720540.9,2672360000.0,2080790000.0,-38038753.4,612038687.3,1480220000.0,4088070000.0,6154340000.0,1086340000.0,4731610000.0,3124320000.0,1619980000.0,-175430097.9,3030020000.0,3448010000.0,-453155586.3,18128400000.0,19086100000.0,33975900000.0,72319400000.0,14077400000.0,55961000000.0,32344200000.0,28759900000.0,2831870000.0,39975200000.0,29482100000.0,-13417.0,126440.1,327852.5,781245.5,1236882.9,241088.0,939007.2,655914.2,413180.7,-28186.7,580968.7,582614.3
10.year_inc,-2414866.0,-144485.4,6027955.6,3534486.2,8751243.2,1332925.5,6104635.0,4803651.7,4758344.4,2372905.6,1289179.5,3947591.5,2659973.3,0.00056,0.00503,-0.00114,-0.0254,0.008,0.0125,0.011,0.0070599999999999994,0.00913,0.0053,-0.007659999999999999,0.009059999999999999,0.0056700000000000006,-3305.3,186388.5,504729.5,812863.9,1525458.5,313722.0,1049196.1,768576.1,541599.5,254908.4,66340.3,756882.4,670137.1,0.00798,0.0101,0.00335,-0.00323,0.0147,0.009179999999999999,0.0201,0.0139,0.007209999999999999,0.00496,0.00337,0.0156,0.0126,111199.9,366560.0,1404951.3,1069539.1,3155026.7,439417.5,2177790.5,1627048.4,1182759.2,564878.5,423823.1,1527978.4,1532850.1,-1552.6,-1232.7,23130.2,171299.9,191412.9,25593.2,152873.5,106125.3,31393.5,19318.2,-25709.8,85287.6,134426.2,-0.0035399999999999997,-0.00421,-0.000325,-0.00535,0.0008990000000000001,-1.22e-05,0.00619,-0.0019199999999999998,0.00147,0.0036799999999999997,-0.0153,0.00611,0.00687,-8551757.5,132011420.0,712635726.1,1447340000.0,8543720000.0,453389801.7,1541170000.0,1217670000.0,861659809.2,439670241.5,124207726.8,1075960000.0,978580276.9,-244167486.4,4874280000.0,13362700000.0,26004700000.0,44149100000.0,9370610000.0,30477300000.0,22737600000.0,13399100000.0,1115840000.0,21411500000.0,21379400000.0,-32046731.9,2539930000.0,7420720000.0,13065700000.0,23005900000.0,5712750000.0,15954200000.0,11622100000.0,7088580000.0,641239969.1,11383900000.0,10204600000.0,-53769895.5,1048090000.0,2126860000.0,4601820000.0,7797760000.0,1501710000.0,4270720000.0,4125120000.0,3163160000.0,514291777.6,3672640000.0,3132890000.0,-38958412.4,758942801.9,2235180000.0,5947670000.0,8919360000.0,1523380000.0,6498980000.0,4913590000.0,2373970000.0,-101643261.8,4005770000.0,5022010000.0,-79684212.2,20240300000.0,33543000000.0,48321000000.0,104427000000.0,20620300000.0,74007800000.0,49535500000.0,39955300000.0,7008190000.0,54891500000.0,43851400000.0,1918.1,136714.2,481345.3,1108582.0,1751420.5,347620.0,1284007.3,984158.0,577991.6,-6965.4,767262.5,825808.9
12.year_inc,-2266044.1,-496990.3,7043708.1,4621450.9,10828116.1,1655399.1,7320721.4,5925698.2,5952095.6,2951401.3,1733250.8,4902417.9,3220621.4,0.0008640000000000001,0.00571,0.0020800000000000003,-0.0278,0.0108,0.0153,0.0148,0.00912,0.0131,0.007809999999999999,-0.00954,0.0126,0.00778,10163.5,201149.7,689956.1,1099410.8,2027914.3,392020.4,1402050.9,987627.0,729444.7,334958.3,96448.5,1040287.3,906449.2,0.00948,0.00972,0.00563,-0.00119,0.0174,0.0105,0.0232,0.0165,0.00839,0.00704,0.005,0.0185,0.0149,183170.1,306092.7,1696317.8,1434061.9,3843530.6,536304.3,2564233.3,1982335.1,1476023.9,716035.7,579339.8,1861195.5,1831202.4,-1091.8,-904.4,19469.0,230381.5,248277.1,38774.9,195101.2,135435.6,42832.8,26390.5,-34428.5,112841.5,166669.4,-0.00279,-0.004079999999999999,-0.00477,-0.006809999999999999,0.000368,0.00385,0.00461,-0.00259,0.0017699999999999999,0.00498,-0.0205,0.0068200000000000005,0.005679999999999999,22962215.7,180014062.0,1067070000.0,1924020000.0,10999200000.0,644971778.9,2235580000.0,1726600000.0,1152170000.0,584428417.4,168074685.2,1473110000.0,1402570000.0,-80736822.5,5135680000.0,17547500000.0,34913600000.0,57709000000.0,11981900000.0,40234500000.0,28482900000.0,17685000000.0,1268030000.0,29226100000.0,28042100000.0,-31666828.4,2669060000.0,9971770000.0,17373900000.0,29987800000.0,7141940000.0,21057100000.0,14507400000.0,9405900000.0,657226877.3,15480300000.0,13439900000.0,29421445.1,1301890000.0,2346790000.0,6947020000.0,10714600000.0,2116060000.0,6002960000.0,5882400000.0,4361720000.0,693438026.2,4832160000.0,4236770000.0,-12413373.0,764014551.8,2829520000.0,8006720000.0,11610300000.0,1991620000.0,8558290000.0,6162490000.0,3083960000.0,-123299678.0,5447800000.0,6534710000.0,609238069.6,21621700000.0,48228400000.0,66733700000.0,139883000000.0,25967700000.0,98896800000.0,64335300000.0,53356000000.0,11209600000.0,75547500000.0,60559100000.0,4294.2,147403.4,679192.3,1487449.1,2341396.0,405425.0,1714407.9,1260343.7,785654.4,2472.3,1081052.3,1150316.6
14.year_inc,-1409836.0,-1331290.8,7546542.6,5886537.2,12873858.8,2000110.5,8419083.8,7014361.5,7117460.3,3522265.7,2227564.4,5859497.3,3756288.0,0.000933,0.006640000000000001,0.00458,-0.029,0.0134,0.0173,0.0181,0.0122,0.0157,0.0104,-0.00822,0.0148,0.0102,22549.3,208866.1,812093.4,1448714.7,2524286.8,460166.2,1721348.8,1284710.7,889276.2,418055.6,185253.0,1239576.1,1174844.4,0.01,0.012,0.00629,-0.00148,0.0198,0.0135,0.0268,0.0184,0.00893,0.00628,0.00372,0.0214,0.0166,282665.9,284979.1,1828449.8,1824773.4,4484899.4,663836.6,2983720.2,2284605.9,1750895.0,833650.3,702852.4,2200293.5,2070167.8,651.3,-1414.6,34319.6,291539.6,324574.0,53237.1,253914.2,172266.0,46564.8,27997.8,-34277.3,152308.0,224772.1,0.000746,-0.0048200000000000005,-0.00121,-0.0112,0.00216,0.00865,0.00897,-0.0038399999999999997,-0.000546,0.0012699999999999999,-0.0237,0.012,0.00866,4917625.6,204592167.6,1188120000.0,2556260000.0,13681300000.0,708135578.9,2748580000.0,2225900000.0,1446420000.0,764685509.8,291163505.8,1735690000.0,1807040000.0,107262647.6,5071970000.0,21334400000.0,45365700000.0,72112900000.0,14030400000.0,50196500000.0,36898600000.0,21744700000.0,3251460000.0,35214300000.0,36337800000.0,4140739.0,2384680000.0,11847800000.0,22747300000.0,36992500000.0,8150410000.0,26115600000.0,18832000000.0,11627000000.0,1541020000.0,18160500000.0,17215100000.0,95659340.0,1557700000.0,2871960000.0,8228140000.0,12818700000.0,2671240000.0,7315760000.0,6883340000.0,5210220000.0,1279510000.0,5935390000.0,4937270000.0,10508672.2,786404517.4,3537670000.0,10312900000.0,14670200000.0,2448510000.0,10796100000.0,7931440000.0,3689700000.0,185448776.1,6738730000.0,8531960000.0,1567710000.0,22032800000.0,55696600000.0,86282900000.0,168622000000.0,29891200000.0,117651000000.0,80650700000.0,62291600000.0,17324600000.0,87971200000.0,76439100000.0,5030.2,153126.8,831038.7,1980326.7,2984236.3,493693.7,2151084.0,1639240.1,969314.6,73209.0,1344996.2,1521227.9
16.year_inc,-334424.5,-2149492.5,7789019.8,7084065.9,15092210.2,2440338.8,9543878.5,8160874.4,8318088.8,4103065.3,2813418.3,6931335.8,4333782.5,0.0008939999999999999,0.00695,0.00774,-0.0259,0.0161,0.0208,0.0214,0.0151,0.0179,0.0129,-0.00755,0.0172,0.0124,33140.7,193281.3,930939.5,1844474.6,3043176.2,565839.0,2044583.3,1579321.6,1051872.6,503616.6,276921.1,1463854.6,1425464.6,0.0104,0.0148,0.00784,0.00165,0.0224,0.0127,0.0298,0.021,0.0121,0.00983,0.00485,0.024,0.0186,396449.0,280595.7,1930136.5,2248290.8,5194066.4,756934.4,3367326.3,2652118.7,2098846.7,1006992.8,892787.5,2541947.8,2338285.3,-1304.9,-1603.4,39059.2,396306.2,432083.6,69799.3,351747.0,254256.6,66483.2,40713.7,-37845.4,177827.1,295801.2,-0.0038200000000000005,-0.00469,-0.0015199999999999999,-0.00759,0.0068,0.0123,0.0223,0.0035700000000000003,0.00443,0.00735,-0.0283,0.0131,0.0143,31570777.5,243062193.1,1401380000.0,3300970000.0,16513400000.0,882425462.2,3337400000.0,2753830000.0,1858790000.0,996706175.8,470935384.8,2233160000.0,2245770000.0,112891051.5,4481070000.0,24563300000.0,58647200000.0,88090500000.0,17230100000.0,61324300000.0,46620300000.0,25755300000.0,5141790000.0,41470200000.0,45105100000.0,-30941142.5,2044580000.0,13916800000.0,28860300000.0,44794100000.0,9788810000.0,31112500000.0,23121700000.0,13611200000.0,2759210000.0,21672400000.0,21394000000.0,136014849.3,1641110000.0,3854880000.0,11430600000.0,17193900000.0,3447540000.0,10104500000.0,10167500000.0,6465690000.0,1895420000.0,7026420000.0,7280690000.0,7639080.4,704972276.6,3954750000.0,13574500000.0,18271900000.0,3068040000.0,13611000000.0,10376000000.0,4553200000.0,393568847.8,7895880000.0,10650600000.0,2484150000.0,20535200000.0,63807200000.0,106459000000.0,197333000000.0,36064800000.0,135320000000.0,96905000000.0,72627100000.0,22894600000.0,100428000000.0,88641300000.0,25695.6,136115.5,958553.6,2496431.6,3643865.9,637681.0,2608330.0,2065047.5,1164406.9,153304.0,1578818.4,1841778.1
18.year_inc,885067.4,-2409092.9,7419915.5,8104109.8,17676358.0,2992118.4,10771448.8,9476560.2,9652791.9,4754372.8,3485731.9,8199797.9,5031447.7,0.00105,0.007490000000000001,0.0122,-0.0166,0.0191,0.0236,0.0252,0.0186,0.0217,0.018,-0.007490000000000001,0.0196,0.0147,53480.3,203911.0,1031063.6,2301838.0,3647758.9,677046.0,2428369.0,1940494.3,1271941.6,634141.2,369945.9,1707264.6,1698771.3,0.0107,0.0167,0.0112,-0.000732,0.0237,0.0112,0.0312,0.0215,0.0123,0.0088,0.0054600000000000004,0.0261,0.0194,525137.0,310891.7,1949133.0,2529744.4,5782762.2,864596.4,3636876.7,2890442.3,2410500.0,1139972.4,1100492.8,2892319.9,2507665.8,-1663.2,-1917.3,55349.1,507209.0,559169.5,95374.2,454808.4,331576.4,90162.0,53516.4,-28081.5,227593.1,373633.4,-0.00509,-0.00528,0.00217,-0.00614,0.0117,0.02,0.0324,0.00748,0.00875,0.009609999999999999,-0.0275,0.0188,0.0197,43702783.4,250634839.9,1685820000.0,4173550000.0,19466300000.0,1121460000.0,4166660000.0,3367640000.0,2299300000.0,1201850000.0,709990612.6,2804950000.0,2751830000.0,348302542.3,4814470000.0,27262700000.0,72987600000.0,105842000000.0,20919600000.0,73486200000.0,57069900000.0,31432600000.0,7527150000.0,48771800000.0,53489600000.0,4275668.4,2209850000.0,15241300000.0,36069900000.0,53547100000.0,11815700000.0,36966400000.0,28262500000.0,16779800000.0,3918930000.0,25284500000.0,24951600000.0,168545527.0,1693150000.0,4546420000.0,14758300000.0,21315600000.0,4457220000.0,12893000000.0,12599000000.0,7856120000.0,2820660000.0,8716600000.0,9002280000.0,26393430.5,741921870.3,4497240000.0,16891600000.0,22202700000.0,3775880000.0,16535200000.0,12790100000.0,5538940000.0,809455390.0,9412600000.0,12887900000.0,3930590000.0,21182100000.0,75086600000.0,130093000000.0,235727000000.0,42326300000.0,157354000000.0,119483000000.0,88113500000.0,30158700000.0,116244000000.0,105287000000.0,32862.2,173119.1,1108413.4,3245838.2,4603188.5,791494.8,3231827.5,2655942.2,1452674.2,325188.9,1947246.3,2359019.5
20.year_inc,2150522.1,-2322073.6,6939150.4,9001304.9,19954791.1,3505073.0,11717609.7,10554243.2,10977191.9,5388814.4,4178319.6,9400547.8,5472526.2,0.00114,0.00801,0.0147,-0.0114,0.021,0.0223,0.0277,0.0203,0.0248,0.0204,-0.00648,0.0218,0.0163,72038.7,225453.0,1055863.9,2664641.5,4086310.2,716135.1,2686482.2,2148484.5,1481827.1,731070.0,483596.7,1937825.8,1888348.1,0.0116,0.0158,0.014,-0.000125,0.0246,0.013,0.0314,0.0232,0.0122,0.01,0.0059,0.0262,0.0193,681129.1,292881.8,1922604.1,2821763.2,6279374.7,1017549.8,3773899.8,3180926.2,2711085.4,1299706.3,1311357.8,3098448.5,2550739.5,-461.0,459.7,74741.1,619363.8,693885.1,111403.4,549597.9,396493.5,119663.0,64930.5,-11384.7,297391.7,462818.7,-0.0031100000000000004,-0.00331,0.008329999999999999,-0.00043200000000000004,0.0191,0.026,0.0441,0.013,0.0149,0.0126,-0.024,0.0289,0.0296,56901831.4,296519728.6,1798850000.0,4863170000.0,22795800000.0,1283300000.0,4597390000.0,3725340000.0,2738870000.0,1379780000.0,1034300000.0,3329980000.0,3033150000.0,520912348.9,5287620000.0,28379000000.0,85834200000.0,120513000000.0,22114000000.0,82958500000.0,64194600000.0,36908000000.0,10537900000.0,56318100000.0,61490700000.0,2408917.9,2433770000.0,15510300000.0,42107100000.0,60088500000.0,12183800000.0,41265200000.0,31249800000.0,19352800000.0,5282340000.0,28838800000.0,28551900000.0,286607333.3,2030690000.0,5242100000.0,18268300000.0,26048600000.0,5080340000.0,15247400000.0,15406400000.0,9597450000.0,3901420000.0,10642200000.0,11370800000.0,47849749.5,804074532.4,4745850000.0,19962100000.0,25607600000.0,4099870000.0,18854700000.0,14566800000.0,6614790000.0,1418070000.0,11040800000.0,14893000000.0,5654990000.0,23384000000.0,77934600000.0,148847000000.0,262338000000.0,44509800000.0,170864000000.0,130766000000.0,103147000000.0,39597900000.0,131572000000.0,114682000000.0,46093.1,176912.5,1139332.2,3724618.5,5139733.1,851108.7,3600986.6,2939504.8,1690951.1,420696.7,2200228.3,2597673.3
22.year_inc,3467999.3,-2077391.2,6827728.7,9661470.5,21783288.5,3926610.6,12331029.9,11440770.9,12290725.0,6035666.0,4840596.7,10342517.6,5565952.9,0.0013,0.00866,0.0145,-0.00491,0.0225,0.0235,0.029,0.0224,0.0272,0.0226,-0.0052,0.0226,0.0172,94251.2,257325.1,1037950.3,2988170.3,4444715.1,785927.1,2839581.8,2385840.5,1681013.2,831293.1,600022.8,2058874.6,1977774.8,0.0128,0.015,0.0143,0.00187,0.0253,0.0119,0.0319,0.0239,0.0124,0.00907,0.0064,0.0269,0.0193,856299.3,294758.6,1903807.1,3066332.9,6680883.3,1099479.3,3892230.6,3379284.3,3017182.7,1431043.4,1515505.0,3301599.0,2564221.2,-678.9,98.5,59484.1,727087.4,786136.2,126183.1,629994.1,462338.7,126704.3,74939.7,-9811.8,323797.5,533248.7,-0.0038799999999999998,-0.0041600000000000005,0.00346,0.00473,0.0229,0.0294,0.0549,0.0174,0.0125,0.0142,-0.027,0.0312,0.0386,60564377.8,311178365.2,1811330000.0,5505930000.0,26429900000.0,1348060000.0,5085890000.0,4090900000.0,3008420000.0,1505490000.0,1073610000.0,3619430000.0,3353850000.0,679316473.4,5886430000.0,27437100000.0,97756900000.0,132247000000.0,24468100000.0,89771700000.0,72227300000.0,41556200000.0,12948600000.0,60019600000.0,66222500000.0,11499454.3,2353130000.0,15099200000.0,47706600000.0,65203300000.0,13609600000.0,44017300000.0,34832300000.0,21799800000.0,6443710000.0,30371000000.0,29794000000.0,287094281.6,2283140000.0,4754550000.0,21269600000.0,28763200000.0,5680610000.0,17332300000.0,17352000000.0,10510600000.0,4057720000.0,11411200000.0,12571900000.0,67327697.1,989611561.8,4480470000.0,22889200000.0,28476100000.0,4545770000.0,20776600000.0,16563200000.0,7409120000.0,1787130000.0,11912900000.0,16521200000.0,7681670000.0,26239600000.0,76150100000.0,164129000000.0,279794000000.0,48625000000.0,174266000000.0,143805000000.0,115691000000.0,47612300000.0,135989000000.0,115478000000.0,53590.5,197466.2,1129927.0,4282636.6,5694713.1,929427.5,3933024.8,3291894.6,1907844.2,515955.9,2402818.6,2857441.5
