,n_startpop_5564,n_startpop_6574,n_startpop_65p,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_65p,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_f,p_cogstate1_his,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_65p,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_Age55l,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_f,n_cogstate1_his,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_65p,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_65p,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_65p,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_Age55l,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_m,n_nhmliv_dem_wht,s_helphoursyr_dem_5564,s_helphoursyr_dem_6574,s_helphoursyr_dem_65p,s_helphoursyr_dem_7584,s_helphoursyr_dem_85p,s_helphoursyr_dem_Age55l,s_helphoursyr_dem_all,s_helphoursyr_dem_blk,s_helphoursyr_dem_f,s_helphoursyr_dem_his,s_helphoursyr_dem_m,s_helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_65p,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_Age55l,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_65p,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_Age55l,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_65p,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_Age55l,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_65p,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_Age55l,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_m,t_oopmd_dem_wht,qaly_loss_plwd_5564,qaly_loss_plwd_6574,qaly_loss_plwd_65p,qaly_loss_plwd_7584,qaly_loss_plwd_85p,qaly_loss_plwd_Age55l,qaly_loss_plwd_all,qaly_loss_plwd_blk,qaly_loss_plwd_f,qaly_loss_plwd_his,qaly_loss_plwd_m,qaly_loss_plwd_wht,earnings_loss_plwd_5564,earnings_loss_plwd_6574,earnings_loss_plwd_65p,earnings_loss_plwd_7584,earnings_loss_plwd_85p,earnings_loss_plwd_Age55l,earnings_loss_plwd_all,earnings_loss_plwd_blk,earnings_loss_plwd_f,earnings_loss_plwd_his,earnings_loss_plwd_m,earnings_loss_plwd_wht
0.year_inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.year_inc,-1018101.2,733562.4,3139540.4,1654744.7,751233.4,1992007.3,291044.4,1591528.6,1095250.7,1157631.1,589917.9,200501.0,896756.6,543331.8,0.000207,-0.00479,-0.0141,-0.017,-0.0517,-0.00745,-0.0117,-0.00825,-0.0102,-0.006540000000000001,-0.0066,-1958.0,-178346.0,-902298.8,-349368.2,-374584.2,-137.0,-904393.6,-146741.4,-533385.7,-128685.2,-371007.4,-628968.6,0.00233,-0.0176,-0.03,-0.0474,-0.0488,-0.0156,-0.0188,-0.0128,-0.016,-0.0145,-0.0161,-0.0149,-0.0152,-0.0166,10020.1,-637030.1,-1824654.6,-935163.7,-252460.8,-1805234.6,-203179.7,-876842.3,-989577.9,-29243.6,-32735.5,-163040.1,-815656.7,-1572811.3,-1011.0,-494.0,-108222.2,-26732.1,-80995.2,-391.0,-109625.9,-7337.4,-79193.9,-6913.1,-30431.0,-95372.9,-25167978.0,-200379200.6,-1124790000.0,-334283779.2,-590126207.7,14526039.0,-1135430000.0,-153181847.7,-728533993.8,-161697724.8,-406897105.0,-820551439.6,-85888749.1,-6733540000.0,-35356000000.0,-12359500000.0,-16262900000.0,-27321582.0,-35469200000.0,-5446420000.0,-21434100000.0,-4766840000.0,-14035100000.0,-25255900000.0,-77453049.0,-3161660000.0,-16905600000.0,-6172210000.0,-7571730000.0,-8968160.0,-16992000000.0,-3127970000.0,-10005900000.0,-2360300000.0,-6986130000.0,-11503700000.0,98201668.0,-1380070000.0,-7314320000.0,-2113470000.0,-3820780000.0,24541628.0,-7191580000.0,-1144190000.0,-5122320000.0,-1491710000.0,-2069260000.0,-4555680000.0,-8995164.0,-1252610000.0,-7276440000.0,-2224720000.0,-3799110000.0,-2982461.0,-7288410000.0,-851392074.1,-4593010000.0,-828917155.0,-2695400000.0,-5608100000.0,26570027.4,-13663200000.0,-34575900000.0,-21698900000.0,786151749.5,14726937.0,-34534700000.0,-4830500000.0,-19103400000.0,-3255840000.0,-15431200000.0,-26448300000.0,661677560.0,-212375023.9,148958161.9,239017333.5,122315882.1,271813601.0,1082450000.0,-280622803.3,393787924.6,642007860.9,688661389.4,721064114.0
4.year_inc,-2056122.1,1075885.9,6278921.1,3710413.4,1492621.7,4431666.5,668983.4,3249848.0,2441567.4,2352859.8,1191519.3,533407.5,1990099.1,1409823.2,0.000332,-0.00494,-0.0195,-0.025,-0.0761,-0.0104,-0.0175,-0.0116,-0.015,-0.00891,-0.00895,-7746.0,-182318.1,-1236461.3,-511615.0,-542530.0,5182.0,-1239026.4,-212174.0,-742569.3,-179833.5,-496456.6,-847019.0,0.004529999999999999,-0.0227,-0.0447,-0.0695,-0.0919,-0.0234,-0.0267,-0.0185,-0.0243,-0.0218,-0.0264,-0.0258,-0.0223,-0.0257,8446.3,-817627.6,-2654776.2,-1333560.0,-503588.7,-2597204.8,-245656.1,-1241189.2,-1450015.4,49930.1,-24877.7,-238821.2,-1147189.4,-2401478.9,-1554.0,-5664.9,-186614.1,-33580.9,-147368.7,-481.0,-188649.2,-18975.6,-131233.1,-12087.0,-57417.2,-157584.4,-34426181.0,-186148414.1,-1526020000.0,-463223749.1,-876652168.1,28568335.0,-1531880000.0,-229792590.9,-931281633.4,-303625392.6,-600600445.4,-998464133.5,-263501111.1,-6903750000.0,-50319700000.0,-18559200000.0,-24856700000.0,37071355.0,-50546100000.0,-8438980000.0,-30444700000.0,-6578170000.0,-20101400000.0,-35528900000.0,-63832691.0,-3175870000.0,-24062800000.0,-9995350000.0,-10891600000.0,-3698926.0,-24130300000.0,-4963270000.0,-13975900000.0,-3470480000.0,-10154400000.0,-15696600000.0,-28870689.0,-1377130000.0,-11062000000.0,-2818460000.0,-6866430000.0,40104216.0,-11050800000.0,-2089270000.0,-8614130000.0,-1792170000.0,-2436660000.0,-7169350000.0,-38862623.7,-1253030000.0,-10611300000.0,-3193300000.0,-6164980000.0,4032497.0,-10646100000.0,-1311970000.0,-6751300000.0,-1123750000.0,-3894840000.0,-8210420000.0,29699306.1,-23352700000.0,-79790400000.0,-43441600000.0,-12996100000.0,52927948.0,-79707800000.0,-10716300000.0,-43741600000.0,-7699370000.0,-35966100000.0,-61292100000.0,225777970.5,-1768040000.0,-1205280000.0,350777937.4,211990304.6,177623884.0,-801873547.9,-842853011.1,-255545751.6,29679213.8,-546327783.3,11300211.6
6.year_inc,-2411263.3,597044.3,8604752.2,5202486.3,2805221.7,7287546.8,1105885.3,5047804.9,4015988.2,3650798.9,1837576.5,1007554.3,3271558.6,2530862.6,0.000434,-0.00495,-0.022,-0.0278,-0.0931,-0.0117,-0.0215,-0.0133,-0.0169,-0.00988,-0.00995,-7504.0,-184657.2,-1378728.4,-568740.4,-625329.3,16454.0,-1369777.6,-253778.8,-832920.0,-181659.6,-536859.7,-934340.7,0.00617,-0.0243,-0.0489,-0.0794,-0.107,-0.0253,-0.0301,-0.0191,-0.0271,-0.0268,-0.0317,-0.0315,-0.0232,-0.0281,41133.8,-895283.2,-2788609.2,-1498768.3,-394557.8,-2610015.5,-217640.2,-1203524.4,-1527250.9,176937.5,29710.7,-205320.6,-1082764.5,-2569312.8,-1055.0,-6557.4,-226704.3,-34907.8,-185240.6,139.0,-227619.2,-22255.0,-159584.5,-15135.5,-68033.5,-190225.5,-21110468.1,-173912931.8,-1628760000.0,-520796545.2,-934051438.5,9000795.0,-1640870000.0,-272904370.8,-1080030000.0,-357752581.3,-560837934.9,-1010210000.0,-277173290.7,-7323850000.0,-57415100000.0,-20502900000.0,-29588400000.0,169057618.0,-57523300000.0,-10296700000.0,-35414500000.0,-6860450000.0,-22108800000.0,-40366100000.0,-88327298.0,-3517250000.0,-27405700000.0,-11173800000.0,-12714700000.0,11353226.0,-27482700000.0,-5914830000.0,-16325200000.0,-3476240000.0,-11157500000.0,-18091600000.0,-75849424.0,-1126180000.0,-13138500000.0,-3177620000.0,-8834700000.0,83082380.0,-13131300000.0,-2734680000.0,-10312100000.0,-1924970000.0,-2819210000.0,-8471620000.0,-45633759.0,-1292730000.0,-12164900000.0,-3450560000.0,-7421610000.0,16983331.0,-12193600000.0,-1688940000.0,-7906100000.0,-1252180000.0,-4287450000.0,-9252430000.0,207979120.3,-27368000000.0,-116925000000.0,-62408300000.0,-27148900000.0,50691879.0,-116667000000.0,-15845100000.0,-65039200000.0,-11472400000.0,-51627400000.0,-89349000000.0,-215446090.4,-1168990000.0,-2666720000.0,-1609120000.0,111390962.0,272050696.0,-2610120000.0,-775533060.7,-493563466.0,133587437.6,-2116550000.0,-1968170000.0
8.year_inc,-2427548.4,-96191.7,10774069.7,6479662.7,4390598.8,10094674.0,1509617.4,6741771.8,5513539.4,4918804.0,2456306.8,1514892.5,4581134.6,3666252.7,0.000573,-0.00514,-0.023,-0.0288,-0.10300000000000001,-0.0122,-0.0239,-0.0138,-0.0173,-0.0104,-0.0104,-2259.0,-195303.5,-1422077.2,-580700.6,-646071.8,24940.0,-1399393.3,-275578.9,-849962.4,-158061.0,-549431.6,-965754.2,0.00799,-0.0229,-0.0484,-0.0805,-0.121,-0.0244,-0.0296,-0.0183,-0.0259,-0.0278,-0.0331,-0.0347,-0.0226,-0.0279,110653.8,-867315.6,-2561037.4,-1446083.0,-247638.8,-2247607.4,-136673.5,-1064340.1,-1319441.1,370629.7,115880.0,-130593.7,-928166.2,-2481563.5,-1475.0,-7055.7,-253874.7,-45099.8,-201718.5,-232.0,-255581.5,-30207.3,-185485.4,-15571.8,-70094.8,-209797.5,-4609653.2,-145025705.1,-1625960000.0,-585170530.5,-895765651.1,27190548.0,-1603380000.0,-267372048.9,-1020450000.0,-236114147.4,-582935845.8,-1099890000.0,-250963936.1,-7967800000.0,-59837500000.0,-21210400000.0,-30659300000.0,228413466.0,-59860100000.0,-11518000000.0,-37359500000.0,-6189390000.0,-22500600000.0,-42152600000.0,-55909934.3,-3995860000.0,-27734500000.0,-11185400000.0,-12553300000.0,13990516.0,-27776500000.0,-6365180000.0,-16706300000.0,-3427400000.0,-11070100000.0,-17983900000.0,-76659337.0,-2008350000.0,-15946400000.0,-4104960000.0,-9833060000.0,117530628.0,-15905500000.0,-3055830000.0,-12157600000.0,-2505250000.0,-3747880000.0,-10344400000.0,-39559823.7,-1376520000.0,-12970900000.0,-3678110000.0,-7916270000.0,24130468.0,-12986300000.0,-1970620000.0,-8526920000.0,-1027180000.0,-4459410000.0,-9988530000.0,19467691.9,-27740500000.0,-144183000000.0,-78776400000.0,-37666400000.0,106383219.0,-144057000000.0,-19768600000.0,-80154500000.0,-14920200000.0,-63902800000.0,-109369000000.0,267420746.1,-1498700000.0,-4270910000.0,-2711120000.0,-61087202.3,180365485.0,-3823120000.0,-809253341.5,-448944578.6,-218707368.1,-3374180000.0,-2795160000.0
10.year_inc,-2282330.6,-467829.8,12976871.5,7624808.2,5819893.2,12620532.4,1908014.0,8171596.5,6889126.3,6185352.5,3076719.6,2044366.1,5731406.1,4527165.8,0.000859,-0.00512,-0.0236,-0.0301,-0.10800000000000001,-0.0125,-0.0244,-0.0144,-0.0179,-0.0102,-0.0107,10450.0,-196058.4,-1432147.6,-603536.0,-632550.2,27000.0,-1394698.0,-269449.0,-870513.7,-139242.4,-524184.0,-986008.1,0.009470000000000001,-0.0202,-0.0447,-0.0797,-0.12,-0.0218,-0.0298,-0.0156,-0.0246,-0.0273,-0.0335,-0.0332,-0.0186,-0.0256,181539.8,-782396.4,-2077065.1,-1346327.3,51658.6,-1671637.2,-69229.6,-779515.0,-1110018.4,596331.9,213468.8,25430.5,-561618.8,-2198739.5,-1201.0,-5516.7,-248429.9,-41359.5,-201550.5,423.0,-249206.3,-28192.3,-193203.6,-15290.6,-56002.6,-205722.2,22129249.4,-184415318.3,-1794870000.0,-719605678.5,-890851733.2,19690942.0,-1753050000.0,-284098401.4,-1212130000.0,-364488112.3,-540917926.9,-1104470000.0,-7120239.6,-7753080000.0,-59119300000.0,-21501300000.0,-29864900000.0,280068380.0,-58846400000.0,-10802200000.0,-37843600000.0,-5808910000.0,-21002800000.0,-42235300000.0,-26018174.9,-3804390000.0,-27930200000.0,-11403100000.0,-12722700000.0,783695.0,-27955400000.0,-6118840000.0,-16735700000.0,-3004800000.0,-11219700000.0,-18831800000.0,43977816.3,-1929530000.0,-16033400000.0,-4521250000.0,-9582580000.0,132669290.0,-15856700000.0,-3314480000.0,-12278000000.0,-2367990000.0,-3578680000.0,-10174200000.0,-2773775.1,-1363300000.0,-12624600000.0,-3671760000.0,-7589500000.0,31641984.0,-12595700000.0,-1797750000.0,-8798060000.0,-1047490000.0,-3797630000.0,-9750440000.0,-292655057.8,-28079400000.0,-164929000000.0,-90102000000.0,-46747600000.0,103126536.0,-165119000000.0,-23267900000.0,-92688800000.0,-18500900000.0,-72429800000.0,-123350000000.0,-146347761.3,-1885240000.0,-5298790000.0,-3379610000.0,-33937712.8,206863125.0,-5238270000.0,-954045535.7,-771463205.5,-592465751.4,-4466810000.0,-3691760000.0
12.year_inc,-1426749.8,-1329502.5,14319981.3,8216834.0,7432649.8,15075137.4,2322876.1,9469063.1,8195239.2,7426801.4,3681957.5,2583492.7,6879898.2,5325459.9,0.000909,-0.00517,-0.0234,-0.03,-0.111,-0.0123,-0.0247,-0.0141,-0.0186,-0.0102,-0.0104,21823.0,-202072.7,-1387363.4,-595306.0,-589982.8,31361.0,-1334179.7,-259450.6,-829904.1,-125159.8,-504276.9,-949568.3,0.01,-0.0179,-0.0407,-0.0775,-0.12,-0.019,-0.0294,-0.0137,-0.0222,-0.0247,-0.0336,-0.0263,-0.0154,-0.0236,281358.2,-735115.7,-1610786.4,-1233061.5,357390.7,-1065397.0,12349.5,-547330.6,-824817.4,869062.8,310060.5,274109.7,-240579.6,-1946809.4,763.0,-6033.3,-241227.1,-44683.6,-190509.9,-522.0,-240984.9,-27613.4,-176938.0,-16738.7,-64045.6,-196630.9,27994345.3,-217330929.8,-1493650000.0,-519907292.1,-756415673.3,16883269.0,-1448780000.0,-237015917.0,-1016620000.0,-211698551.5,-432153952.4,-1000060000.0,253450475.1,-7900120000.0,-56377800000.0,-21547200000.0,-26930500000.0,335733660.0,-55788600000.0,-10794300000.0,-35295100000.0,-5378770000.0,-20493500000.0,-39615600000.0,23794893.3,-3952130000.0,-26394300000.0,-11540300000.0,-10901900000.0,2609364.0,-26367900000.0,-6053400000.0,-15828200000.0,-3019730000.0,-10539700000.0,-17294800000.0,112805848.7,-1482510000.0,-14512500000.0,-4204450000.0,-8825510000.0,98956828.0,-14300700000.0,-3142940000.0,-11481200000.0,-2104600000.0,-2819540000.0,-9053170000.0,32392244.3,-1391320000.0,-12134800000.0,-3739130000.0,-7004370000.0,32219589.0,-12070200000.0,-1847020000.0,-8076440000.0,-994290301.0,-3993770000.0,-9228900000.0,-23737738.9,-26811800000.0,-179668000000.0,-97373300000.0,-55483300000.0,139821462.0,-179552000000.0,-25920800000.0,-101314000000.0,-20484400000.0,-78238400000.0,-133147000000.0,555399034.7,-3047760000.0,-8519330000.0,-5366410000.0,-105161174.5,503523826.0,-7460410000.0,-1150890000.0,-1060540000.0,-1367140000.0,-6399870000.0,-4942370000.0
14.year_inc,-348221.2,-2164207.6,15279695.7,8505521.8,8938381.5,17634516.0,2822722.3,10768300.4,9532642.1,8681838.3,4294180.2,3220288.0,8101873.9,6129955.5,0.0009279999999999999,-0.00524,-0.0229,-0.0302,-0.111,-0.012,-0.0245,-0.0142,-0.019,-0.00943,-0.01,34475.0,-208480.4,-1324583.1,-597376.7,-518723.9,41950.0,-1248156.8,-240792.2,-813811.1,-104083.8,-434349.1,-903281.8,0.0103,-0.0174,-0.0371,-0.0755,-0.11699999999999999,-0.0164,-0.0248,-0.0115,-0.019,-0.0244,-0.0313,-0.0276,-0.0136,-0.0221,394902.6,-752103.8,-1198465.6,-1147062.0,700700.2,-464968.7,176626.2,-296324.3,-465870.8,1091559.3,439334.1,410279.0,902.1,-1733154.2,-1147.0,-7923.6,-232412.5,-47382.6,-177108.5,-373.0,-233934.7,-28041.1,-174846.5,-16259.7,-59086.8,-189631.3,25267304.6,-274526103.3,-1685530000.0,-634629088.4,-776372710.9,24823821.0,-1635440000.0,-228922049.8,-1153860000.0,-230127097.3,-481572355.6,-1176390000.0,318710827.6,-8227940000.0,-53682700000.0,-22068300000.0,-23386400000.0,436471115.0,-52927500000.0,-10166700000.0,-34959900000.0,-4775060000.0,-17967600000.0,-37985700000.0,10945706.0,-3913410000.0,-24728200000.0,-11513800000.0,-9300980000.0,1827461.0,-24715400000.0,-5771140000.0,-15926900000.0,-2610940000.0,-8788560000.0,-16333300000.0,217760390.8,-1644570000.0,-14368200000.0,-3594370000.0,-9129220000.0,203304683.0,-13947100000.0,-3176120000.0,-11206100000.0,-1597770000.0,-2741010000.0,-9173210000.0,31799790.9,-1480470000.0,-11509000000.0,-3936710000.0,-6091870000.0,45346898.0,-11431900000.0,-1723080000.0,-7853550000.0,-799366907.8,-3578350000.0,-8909450000.0,58975816.9,-29217900000.0,-188180000000.0,-98549500000.0,-60412300000.0,118504412.0,-188002000000.0,-28119400000.0,-106114000000.0,-23161400000.0,-81888500000.0,-136721000000.0,1603620000.0,-2010110000.0,-8217720000.0,-6148800000.0,-58807009.6,107243945.0,-6506850000.0,-1394350000.0,-1456140000.0,57522826.5,-5050710000.0,-5170030000.0
16.year_inc,872392.6,-2452291.9,15995139.6,8144260.3,10303171.2,20543890.3,3438508.7,12196845.4,11044572.0,10070013.1,4982989.3,3948056.6,9499318.3,7035368.4,0.00106,-0.0046,-0.0205,-0.0279,-0.109,-0.0105,-0.0239,-0.0124,-0.0165,-0.00842,-0.00897,53301.0,-187021.7,-1110836.2,-530501.4,-393311.5,57987.0,-999547.3,-209150.3,-654691.3,-5130.6,-344857.1,-785267.0,0.0107,-0.0167,-0.0344,-0.0736,-0.11800000000000001,-0.0143,-0.0199,-0.00826,-0.0164,-0.028,-0.0356,-0.0315,-0.0119,-0.0203,523044.5,-740211.1,-869484.8,-1101279.0,972005.3,121415.8,373269.1,60339.9,-133692.2,1238333.8,495950.7,521760.7,255108.0,-1490187.1,-1681.0,-5469.1,-223851.4,-50097.5,-168283.4,192.0,-225339.7,-23992.0,-147580.3,-17852.5,-77760.4,-183492.6,89127129.3,-190136287.1,-1150420000.0,-438584177.6,-521702096.2,52657474.0,-1008640000.0,-253155919.4,-735193431.6,61931266.8,-273444535.0,-817413393.5,605363872.5,-7449400000.0,-45999000000.0,-20121500000.0,-18428100000.0,641354647.0,-44752300000.0,-8870670000.0,-28009500000.0,-1765240000.0,-16742800000.0,-34116400000.0,37547459.5,-3782140000.0,-20279600000.0,-10555000000.0,-5942490000.0,21914309.0,-20220100000.0,-5114380000.0,-12449500000.0,-617314585.8,-7770630000.0,-14488400000.0,232204613.8,-1191300000.0,-14697400000.0,-4820670000.0,-8685450000.0,225931246.0,-14239300000.0,-3315720000.0,-9866710000.0,-1728470000.0,-4372580000.0,-9195100000.0,53860155.8,-1277750000.0,-10149500000.0,-3459680000.0,-5412100000.0,67299241.0,-10028400000.0,-1511200000.0,-6381820000.0,-460770088.1,-3646540000.0,-8056400000.0,372263561.4,-28277500000.0,-189435000000.0,-98787000000.0,-62370900000.0,142856296.0,-188920000000.0,-28221600000.0,-106394000000.0,-23679600000.0,-82526600000.0,-137019000000.0,1026860000.0,-1577320000.0,-6892160000.0,-5221800000.0,-93042027.4,575207174.0,-5290100000.0,-986930314.9,-1875230000.0,-122933228.1,-3414870000.0,-4180230000.0
18.year_inc,2139104.5,-2387062.3,16690952.6,7618646.0,11459368.9,23015944.5,4001724.5,13285638.8,12269739.7,11449905.4,5646594.0,4675453.8,10746204.7,7564314.6,0.00116,-0.005220000000000001,-0.0209,-0.0298,-0.109,-0.0107,-0.0226,-0.0124,-0.0181,-0.00873,-0.0092,71810.0,-208801.8,-1120794.7,-592548.3,-319442.2,68358.0,-980627.2,-167929.3,-635116.4,-11942.4,-345510.6,-800757.1,0.0116,-0.0171,-0.0295,-0.069,-0.109,-0.0107,-0.0191,-0.00498,-0.013,-0.0255,-0.0333,-0.0269,-0.00817,-0.0174,679580.5,-753241.2,-365242.5,-996603.3,1384602.0,875334.6,491197.4,407612.6,242759.2,1539930.3,634674.9,787096.8,632575.4,-1155793.1,-599.0,-5715.1,-226962.2,-40913.6,-180333.1,-370.0,-227932.2,-14291.1,-163756.1,-14640.6,-64175.2,-198997.0,86418430.1,-170503811.5,-1079810000.0,-669238842.2,-240068263.7,55814160.0,-937578284.3,-116652025.7,-808669129.5,91577892.0,-128909220.1,-912504147.9,871651950.0,-8095790000.0,-46905500000.0,-22224400000.0,-16585300000.0,750034686.0,-45283800000.0,-7268180000.0,-28516000000.0,-2707640000.0,-16767900000.0,-35308000000.0,14916208.1,-4057180000.0,-21019900000.0,-12215600000.0,-4747150000.0,45871459.0,-20959100000.0,-4550370000.0,-12667000000.0,-1669420000.0,-8292130000.0,-14739300000.0,425736460.3,-1765190000.0,-13006200000.0,-3669290000.0,-7571760000.0,330475029.0,-12250000000.0,-2033350000.0,-9016330000.0,-1840960000.0,-3233700000.0,-8375730000.0,88584905.8,-1418850000.0,-10287100000.0,-3686700000.0,-5181500000.0,74426596.0,-10124000000.0,-1137820000.0,-6615080000.0,-450557616.7,-3508970000.0,-8535670000.0,418736826.0,-28612700000.0,-185098000000.0,-97375800000.0,-59109300000.0,274972035.0,-184404000000.0,-28304200000.0,-102774000000.0,-23502200000.0,-81630300000.0,-132598000000.0,2450840000.0,-1240820000.0,-6390980000.0,-4736410000.0,-413751184.2,467305856.0,-3472830000.0,-263910920.3,-1336100000.0,-628291525.9,-2136730000.0,-2580630000.0
20.year_inc,3456542.8,-2136091.4,17654650.3,7435519.4,12355222.3,25014674.4,4450164.8,13970913.5,13270425.1,12847989.1,6340630.2,5371811.4,11744249.3,7716520.5,0.00134,-0.00446,-0.0191,-0.0283,-0.106,-0.009609999999999999,-0.0194,-0.0114,-0.018,-0.00758,-0.00842,94830.0,-180359.1,-946226.8,-550323.6,-215542.1,66623.0,-784772.6,-94949.6,-536319.3,28325.0,-248455.4,-718148.7,0.0128,-0.0158,-0.0264,-0.0699,-0.10099999999999999,-0.0084,-0.0202,-0.00312,-0.00982,-0.0231,-0.0287,-0.0263,-0.006809999999999999,-0.0159,855840.6,-695919.2,2027.0,-1036986.0,1734932.2,1417553.0,554551.1,612688.9,587630.6,1849344.4,815962.9,971168.0,829922.5,-986342.5,-536.0,-3094.7,-142641.4,-37197.0,-102348.8,145.0,-143032.1,-1545.5,-108129.6,11352.2,-34901.5,-152834.4,83474179.7,-135691502.6,-627247916.7,-515217617.7,23661160.7,41296383.0,-502477470.8,-23357417.5,-419976024.9,164733412.8,-82501377.1,-643853423.4,1139650000.0,-6913120000.0,-33404300000.0,-19528100000.0,-6963110000.0,726780823.0,-31537900000.0,-3566510000.0,-21325700000.0,762356420.8,-10212100000.0,-28733700000.0,25570992.2,-3464650000.0,-14638200000.0,-10390800000.0,-782735428.6,47365408.0,-14565200000.0,-2560620000.0,-9722860000.0,88768722.9,-4842370000.0,-12093400000.0,419732649.4,-1362710000.0,-7643000000.0,-3155010000.0,-3125280000.0,253931093.0,-6969340000.0,-1142490000.0,-6221310000.0,846552220.0,-748027988.6,-6673410000.0,120818731.4,-1196920000.0,-6795510000.0,-3228950000.0,-2369640000.0,73640152.0,-6601050000.0,-365584855.2,-4530700000.0,350169639.5,-2070350000.0,-6585630000.0,652626454.3,-29165200000.0,-178685000000.0,-95924400000.0,-53595200000.0,318865754.0,-177713000000.0,-26421800000.0,-98987200000.0,-23936200000.0,-78726100000.0,-127355000000.0,3459520000.0,-1730690000.0,-5555470000.0,-3686650000.0,-138130100.0,600928104.0,-1495020000.0,-138478499.5,-31168788.8,508256915.1,-1463850000.0,-1864790000.0
